KB,AQI0,AQI1,AQI2,AQI3,Label0,Label1,Label2,Label3,Change1,Change2,Change3
2013-05-25T22,64,62,62,61,1,1,1,1,1-1,1-1,1-1
2013-05-25T23,64,62,62,61,1,1,1,1,1-1,1-1,1-1
2013-05-26T00,63,61,62,59,1,1,1,1,1-1,1-1,1-1
2013-05-26T01,62,61,62,58,1,1,1,1,1-1,1-1,1-1
2013-05-26T02,62,62,62,56,1,1,1,1,1-1,1-1,1-1
2013-05-26T03,62,62,61,55,1,1,1,1,1-1,1-1,1-1
2013-05-26T04,62,62,61,54,1,1,1,1,1-1,1-1,1-1
2013-05-26T05,62,62,61,53,1,1,1,1,1-1,1-1,1-1
2013-05-26T06,61,62,59,53,1,1,1,1,1-1,1-1,1-1
2013-05-26T07,61,62,58,53,1,1,1,1,1-1,1-1,1-1
2013-05-26T08,62,62,56,53,1,1,1,1,1-1,1-1,1-1
2013-05-26T09,62,61,55,52,1,1,1,1,1-1,1-1,1-1
2013-05-26T10,62,61,54,53,1,1,1,1,1-1,1-1,1-1
2013-05-26T11,62,61,53,52,1,1,1,1,1-1,1-1,1-1
2013-05-26T12,62,59,53,52,1,1,1,1,1-1,1-1,1-1
2013-05-26T13,62,58,53,51,1,1,1,1,1-1,1-1,1-1
2013-05-26T14,62,56,53,51,1,1,1,1,1-1,1-1,1-1
2013-05-26T15,61,55,52,49,1,1,1,0,1-1,1-1,1-0
2013-05-26T16,61,54,53,48,1,1,1,0,1-1,1-1,1-0
2013-05-26T17,61,53,52,45,1,1,1,0,1-1,1-1,1-0
2013-05-26T18,59,53,52,43,1,1,1,0,1-1,1-1,1-0
2013-05-26T19,58,53,51,41,1,1,1,0,1-1,1-1,1-0
2013-05-26T20,56,53,51,39,1,1,1,0,1-1,1-1,1-0
2013-05-26T21,55,52,49,38,1,1,0,0,1-1,1-0,1-0
2013-05-26T22,54,53,48,38,1,1,0,0,1-1,1-0,1-0
2013-05-26T23,53,52,45,37,1,1,0,0,1-1,1-0,1-0
2013-05-27T00,53,52,43,38,1,1,0,0,1-1,1-0,1-0
2013-05-27T01,53,51,41,38,1,1,0,0,1-1,1-0,1-0
2013-05-27T02,53,51,39,38,1,1,0,0,1-1,1-0,1-0
2013-05-27T03,52,49,38,38,1,0,0,0,1-0,1-0,1-0
2013-05-27T04,53,48,38,40,1,0,0,0,1-0,1-0,1-0
2013-05-27T05,52,45,37,42,1,0,0,0,1-0,1-0,1-0
2013-05-27T06,52,43,38,43,1,0,0,0,1-0,1-0,1-0
2013-05-27T07,51,41,38,44,1,0,0,0,1-0,1-0,1-0
2013-05-27T08,51,39,38,46,1,0,0,0,1-0,1-0,1-0
2013-05-27T09,49,38,38,48,0,0,0,0,0-0,0-0,0-0
2013-05-27T10,48,38,40,49,0,0,0,0,0-0,0-0,0-0
2013-05-27T11,45,37,42,49,0,0,0,0,0-0,0-0,0-0
2013-05-27T12,43,38,43,50,0,0,0,0,0-0,0-0,0-0
2013-05-27T13,41,38,44,50,0,0,0,0,0-0,0-0,0-0
2013-05-27T14,39,38,46,52,0,0,0,1,0-0,0-0,0-1
2013-05-27T15,38,38,48,52,0,0,0,1,0-0,0-0,0-1
2013-05-27T16,38,40,49,53,0,0,0,1,0-0,0-0,0-1
2013-05-27T17,37,42,49,54,0,0,0,1,0-0,0-0,0-1
2013-05-27T18,38,43,50,57,0,0,0,1,0-0,0-0,0-1
2013-05-27T19,38,44,50,59,0,0,0,1,0-0,0-0,0-1
2013-05-27T20,38,46,52,60,0,0,1,1,0-0,0-1,0-1
2013-05-27T21,38,48,52,58,0,0,1,1,0-0,0-1,0-1
2013-05-27T22,40,49,53,59,0,0,1,1,0-0,0-1,0-1
2013-05-27T23,42,49,54,59,0,0,1,1,0-0,0-1,0-1
2013-05-28T00,43,50,57,58,0,0,1,1,0-0,0-1,0-1
2013-05-28T01,44,50,59,59,0,0,1,1,0-0,0-1,0-1
2013-05-28T02,46,52,60,60,0,1,1,1,0-1,0-1,0-1
2013-05-28T03,48,52,58,63,0,1,1,1,0-1,0-1,0-1
2013-05-28T04,49,53,59,64,0,1,1,1,0-1,0-1,0-1
2013-05-28T05,49,54,59,64,0,1,1,1,0-1,0-1,0-1
2013-05-28T06,50,57,58,65,0,1,1,1,0-1,0-1,0-1
2013-05-28T07,50,59,59,69,0,1,1,1,0-1,0-1,0-1
2013-05-28T08,52,60,60,74,1,1,1,1,1-1,1-1,1-1
2013-05-28T09,52,58,63,82,1,1,1,1,1-1,1-1,1-1
2013-05-28T10,53,59,64,87,1,1,1,1,1-1,1-1,1-1
2013-05-28T11,54,59,64,89,1,1,1,1,1-1,1-1,1-1
2013-05-28T12,57,58,65,93,1,1,1,1,1-1,1-1,1-1
2013-05-28T13,59,59,69,97,1,1,1,1,1-1,1-1,1-1
2013-05-28T14,60,60,74,100,1,1,1,1,1-1,1-1,1-1
2013-05-28T15,58,63,82,105,1,1,1,2,1-1,1-1,1-2
2013-05-28T16,59,64,87,109,1,1,1,2,1-1,1-1,1-2
2013-05-28T17,59,64,89,115,1,1,1,2,1-1,1-1,1-2
2013-05-28T18,58,65,93,123,1,1,1,2,1-1,1-1,1-2
2013-05-28T19,59,69,97,130,1,1,1,2,1-1,1-1,1-2
2013-05-28T20,60,74,100,135,1,1,1,2,1-1,1-1,1-2
2013-05-28T21,63,82,105,140,1,1,2,2,1-1,1-2,1-2
2013-05-28T22,64,87,109,143,1,1,2,2,1-1,1-2,1-2
2013-05-28T23,64,89,115,148,1,1,2,2,1-1,1-2,1-2
2013-05-29T00,65,93,123,155,1,1,2,3,1-1,1-2,1-3
2013-05-29T01,69,97,130,162,1,1,2,3,1-1,1-2,1-3
2013-05-29T02,74,100,135,166,1,1,2,3,1-1,1-2,1-3
2013-05-29T03,82,105,140,169,1,2,2,3,1-2,1-2,1-3
2013-05-29T04,87,109,143,169,1,2,2,3,1-2,1-2,1-3
2013-05-29T05,89,115,148,170,1,2,2,3,1-2,1-2,1-3
2013-05-29T06,93,123,155,170,1,2,3,3,1-2,1-3,1-3
2013-05-29T07,97,130,162,172,1,2,3,3,1-2,1-3,1-3
2013-05-29T08,100,135,166,166,1,2,3,3,1-2,1-3,1-3
2013-05-29T09,105,140,169,162,2,2,3,3,2-2,2-3,2-3
2013-05-29T10,109,143,169,160,2,2,3,3,2-2,2-3,2-3
2013-05-29T11,115,148,170,159,2,2,3,3,2-2,2-3,2-3
2013-05-29T12,123,155,170,159,2,3,3,3,2-3,2-3,2-3
2013-05-29T13,130,162,172,160,2,3,3,3,2-3,2-3,2-3
2013-05-29T14,135,166,166,159,2,3,3,3,2-3,2-3,2-3
2013-05-29T15,140,169,162,156,2,3,3,3,2-3,2-3,2-3
2013-05-29T16,143,169,160,152,2,3,3,3,2-3,2-3,2-3
2013-05-29T17,148,170,159,147,2,3,3,2,2-3,2-3,2-2
2013-05-29T18,155,170,159,140,3,3,3,2,3-3,3-3,3-2
2013-05-29T19,162,172,160,133,3,3,3,2,3-3,3-3,3-2
2013-05-29T20,166,166,159,128,3,3,3,2,3-3,3-3,3-2
2013-05-29T21,169,162,156,124,3,3,3,2,3-3,3-3,3-2
2013-05-29T22,169,160,152,120,3,3,3,2,3-3,3-3,3-2
2013-05-29T23,170,159,147,117,3,3,2,2,3-3,3-2,3-2
2013-05-30T00,170,159,140,109,3,3,2,2,3-3,3-2,3-2
2013-05-30T01,172,160,133,103,3,3,2,2,3-3,3-2,3-2
2013-05-30T02,166,159,128,99,3,3,2,1,3-3,3-2,3-1
2013-05-30T03,162,156,124,95,3,3,2,1,3-3,3-2,3-1
2013-05-30T04,160,152,120,93,3,3,2,1,3-3,3-2,3-1
2013-05-30T05,159,147,117,88,3,2,2,1,3-2,3-2,3-1
2013-05-30T06,159,140,109,NaN,3,2,2,NaN,3-2,3-2,NaN
2013-05-30T07,160,133,103,78,3,2,2,1,3-2,3-2,3-1
2013-05-30T08,159,128,99,77,3,2,1,1,3-2,3-1,3-1
2013-05-30T09,156,124,95,75,3,2,1,1,3-2,3-1,3-1
2013-05-30T10,152,120,93,74,3,2,1,1,3-2,3-1,3-1
2013-05-30T11,147,117,88,73,2,2,1,1,2-2,2-1,2-1
2013-05-30T12,140,109,NaN,70,2,2,NaN,1,2-2,NaN,2-1
2013-05-30T13,133,103,78,68,2,2,1,1,2-2,2-1,2-1
2013-05-30T14,128,99,77,65,2,1,1,1,2-1,2-1,2-1
2013-05-30T15,124,95,75,65,2,1,1,1,2-1,2-1,2-1
2013-05-30T16,120,93,74,65,2,1,1,1,2-1,2-1,2-1
2013-05-30T17,117,88,73,65,2,1,1,1,2-1,2-1,2-1
2013-05-30T18,109,NaN,70,67,2,NaN,1,1,NaN,2-1,2-1
2013-05-30T19,103,78,68,67,2,1,1,1,2-1,2-1,2-1
2013-05-30T20,99,77,65,67,1,1,1,1,1-1,1-1,1-1
2013-05-30T21,95,75,65,68,1,1,1,1,1-1,1-1,1-1
2013-05-30T22,93,74,65,68,1,1,1,1,1-1,1-1,1-1
2013-05-30T23,88,73,65,69,1,1,1,1,1-1,1-1,1-1
2013-05-31T00,NaN,70,67,70,NaN,1,1,1,NaN,NaN,NaN
2013-05-31T01,78,68,67,72,1,1,1,1,1-1,1-1,1-1
2013-05-31T02,77,65,67,72,1,1,1,1,1-1,1-1,1-1
2013-05-31T03,75,65,68,73,1,1,1,1,1-1,1-1,1-1
2013-05-31T04,74,65,68,77,1,1,1,1,1-1,1-1,1-1
2013-05-31T05,73,65,69,77,1,1,1,1,1-1,1-1,1-1
2013-05-31T06,70,67,70,78,1,1,1,1,1-1,1-1,1-1
2013-05-31T07,68,67,72,77,1,1,1,1,1-1,1-1,1-1
2013-05-31T08,65,67,72,77,1,1,1,1,1-1,1-1,1-1
2013-05-31T09,65,68,73,77,1,1,1,1,1-1,1-1,1-1
2013-05-31T10,65,68,77,82,1,1,1,1,1-1,1-1,1-1
2013-05-31T11,65,69,77,87,1,1,1,1,1-1,1-1,1-1
2013-05-31T12,67,70,78,92,1,1,1,1,1-1,1-1,1-1
2013-05-31T13,67,72,77,98,1,1,1,1,1-1,1-1,1-1
2013-05-31T14,67,72,77,104,1,1,1,2,1-1,1-1,1-2
2013-05-31T15,68,73,77,112,1,1,1,2,1-1,1-1,1-2
2013-05-31T16,68,77,82,120,1,1,1,2,1-1,1-1,1-2
2013-05-31T17,69,77,87,123,1,1,1,2,1-1,1-1,1-2
2013-05-31T18,70,78,92,124,1,1,1,2,1-1,1-1,1-2
2013-05-31T19,72,77,98,123,1,1,1,2,1-1,1-1,1-2
2013-05-31T20,72,77,104,124,1,1,2,2,1-1,1-2,1-2
2013-05-31T21,73,77,112,127,1,1,2,2,1-1,1-2,1-2
2013-05-31T22,77,82,120,129,1,1,2,2,1-1,1-2,1-2
2013-05-31T23,77,87,123,130,1,1,2,2,1-1,1-2,1-2
2013-06-01T00,78,92,124,130,1,1,2,2,1-1,1-2,1-2
2013-06-01T01,77,98,123,129,1,1,2,2,1-1,1-2,1-2
2013-06-01T02,77,104,124,130,1,2,2,2,1-2,1-2,1-2
2013-06-01T03,77,112,127,130,1,2,2,2,1-2,1-2,1-2
2013-06-01T04,82,120,129,128,1,2,2,2,1-2,1-2,1-2
2013-06-01T05,87,123,130,127,1,2,2,2,1-2,1-2,1-2
2013-06-01T06,92,124,130,125,1,2,2,2,1-2,1-2,1-2
2013-06-01T07,98,123,129,124,1,2,2,2,1-2,1-2,1-2
2013-06-01T08,104,124,130,123,2,2,2,2,2-2,2-2,2-2
2013-06-01T09,112,127,130,123,2,2,2,2,2-2,2-2,2-2
2013-06-01T10,120,129,128,120,2,2,2,2,2-2,2-2,2-2
2013-06-01T11,123,130,127,118,2,2,2,2,2-2,2-2,2-2
2013-06-01T12,124,130,125,115,2,2,2,2,2-2,2-2,2-2
2013-06-01T13,123,129,124,109,2,2,2,2,2-2,2-2,2-2
2013-06-01T14,124,130,123,104,2,2,2,2,2-2,2-2,2-2
2013-06-01T15,127,130,123,98,2,2,2,1,2-2,2-2,2-1
2013-06-01T16,129,128,120,90,2,2,2,1,2-2,2-2,2-1
2013-06-01T17,130,127,118,87,2,2,2,1,2-2,2-2,2-1
2013-06-01T18,130,125,115,85,2,2,2,1,2-2,2-2,2-1
2013-06-01T19,129,124,109,85,2,2,2,1,2-2,2-2,2-1
2013-06-01T20,130,123,104,85,2,2,2,1,2-2,2-2,2-1
2013-06-01T21,130,123,98,84,2,2,1,1,2-2,2-1,2-1
2013-06-01T22,128,120,90,83,2,2,1,1,2-2,2-1,2-1
2013-06-01T23,127,118,87,82,2,2,1,1,2-2,2-1,2-1
2013-06-02T00,125,115,85,83,2,2,1,1,2-2,2-1,2-1
2013-06-02T01,124,109,85,83,2,2,1,1,2-2,2-1,2-1
2013-06-02T02,123,104,85,83,2,2,1,1,2-2,2-1,2-1
2013-06-02T03,123,98,84,82,2,1,1,1,2-1,2-1,2-1
2013-06-02T04,120,90,83,82,2,1,1,1,2-1,2-1,2-1
2013-06-02T05,118,87,82,82,2,1,1,1,2-1,2-1,2-1
2013-06-02T06,115,85,83,80,2,1,1,1,2-1,2-1,2-1
2013-06-02T07,109,85,83,80,2,1,1,1,2-1,2-1,2-1
2013-06-02T08,104,85,83,79,2,1,1,1,2-1,2-1,2-1
2013-06-02T09,98,84,82,78,1,1,1,1,1-1,1-1,1-1
2013-06-02T10,90,83,82,77,1,1,1,1,1-1,1-1,1-1
2013-06-02T11,87,82,82,75,1,1,1,1,1-1,1-1,1-1
2013-06-02T12,85,83,80,73,1,1,1,1,1-1,1-1,1-1
2013-06-02T13,85,83,80,77,1,1,1,1,1-1,1-1,1-1
