KB,pm2_5-0,pm10-0,o3-0,no2-0,so2-0,co-0,primary_pollutant_code-0,pm2_5-1,pm10-1,o3-1,no2-1,so2-1,co-1,primary_pollutant_code-1,pm2_5-2,pm10-2,o3-2,no2-2,so2-2,co-2,primary_pollutant_code-2,pm2_5-3,pm10-3,o3-3,no2-3,so2-3,co-3,primary_pollutant_code-3,pm2_5-4,pm10-4,o3-4,no2-4,so2-4,co-4,primary_pollutant_code-4,pm2_5-5,pm10-5,o3-5,no2-5,so2-5,co-5,primary_pollutant_code-5
2013-05-22T09,121,168,51,76,42,1.204,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T10,118,179,92,72,45,1.322,2,121,168,51,76,42,1.204,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T11,109,161,144,65,42,1.377,2,118,179,92,72,45,1.322,2,121,168,51,76,42,1.204,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T12,113,179,200,59,43,1.234,2,109,161,144,65,42,1.377,2,118,179,92,72,45,1.322,2,121,168,51,76,42,1.204,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T13,110,170,254,44,60,0.935,2,113,179,200,59,43,1.234,2,109,161,144,65,42,1.377,2,118,179,92,72,45,1.322,2,121,168,51,76,42,1.204,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T14,70,168,217,20,35,0.8,2,110,170,254,44,60,0.935,2,113,179,200,59,43,1.234,2,109,161,144,65,42,1.377,2,118,179,92,72,45,1.322,2,121,168,51,76,42,1.204,2
2013-05-22T15,47,80,199,13,14,0.671,2,70,168,217,20,35,0.8,2,110,170,254,44,60,0.935,2,113,179,200,59,43,1.234,2,109,161,144,65,42,1.377,2,118,179,92,72,45,1.322,2
2013-05-22T16,47,92,192,16,11,0.703,2,47,80,199,13,14,0.671,2,70,168,217,20,35,0.8,2,110,170,254,44,60,0.935,2,113,179,200,59,43,1.234,2,109,161,144,65,42,1.377,2
2013-05-22T17,36,77,145,18,9,0.622,4,47,92,192,16,11,0.703,2,47,80,199,13,14,0.671,2,70,168,217,20,35,0.8,2,110,170,254,44,60,0.935,2,113,179,200,59,43,1.234,2
2013-05-22T18,35,75,122,22,8,0.629,4,36,77,145,18,9,0.622,4,47,92,192,16,11,0.703,2,47,80,199,13,14,0.671,2,70,168,217,20,35,0.8,2,110,170,254,44,60,0.935,2
2013-05-22T19,40,78,137,22,9,0.661,4,35,75,122,22,8,0.629,4,36,77,145,18,9,0.622,4,47,92,192,16,11,0.703,2,47,80,199,13,14,0.671,2,70,168,217,20,35,0.8,2
2013-05-22T20,38,70,83,22,10,0.633,4,40,78,137,22,9,0.661,4,35,75,122,22,8,0.629,4,36,77,145,18,9,0.622,4,47,92,192,16,11,0.703,2,47,80,199,13,14,0.671,2
2013-05-22T21,37,57,47,24,9,0.63,2,38,70,83,22,10,0.633,4,40,78,137,22,9,0.661,4,35,75,122,22,8,0.629,4,36,77,145,18,9,0.622,4,47,92,192,16,11,0.703,2
2013-05-22T22,34,48,37,24,9,0.642,2,37,57,47,24,9,0.63,2,38,70,83,22,10,0.633,4,40,78,137,22,9,0.661,4,35,75,122,22,8,0.629,4,36,77,145,18,9,0.622,4
