KB,pm2_5-0,pm10-0,o3-0,no2-0,so2-0,co-0,primary_pollutant_code-0,pm2_5-1,pm10-1,o3-1,no2-1,so2-1,co-1,primary_pollutant_code-1,pm2_5-2,pm10-2,o3-2,no2-2,so2-2,co-2,primary_pollutant_code-2,pm2_5-3,pm10-3,o3-3,no2-3,so2-3,co-3,primary_pollutant_code-3,pm2_5-4,pm10-4,o3-4,no2-4,so2-4,co-4,primary_pollutant_code-4,pm2_5-5,pm10-5,o3-5,no2-5,so2-5,co-5,primary_pollutant_code-5
2013-05-22T23,40,44,29,23,8,0.632,2,34,48,37,24,9,0.642,2,37,57,47,24,9,0.63,2,38,70,83,22,10,0.633,4,40,78,137,22,9,0.661,4,35,75,122,22,8,0.629,4
2013-05-23T00,0,0,0,0,0,0.0,2,40,44,29,23,8,0.632,2,34,48,37,24,9,0.642,2,37,57,47,24,9,0.63,2,38,70,83,22,10,0.633,4,40,78,137,22,9,0.661,4
2013-05-23T01,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,40,44,29,23,8,0.632,2,34,48,37,24,9,0.642,2,37,57,47,24,9,0.63,2,38,70,83,22,10,0.633,4
2013-05-23T02,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,40,44,29,23,8,0.632,2,34,48,37,24,9,0.642,2,37,57,47,24,9,0.63,2
2013-05-23T03,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,40,44,29,23,8,0.632,2,34,48,37,24,9,0.642,2
2013-05-23T04,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,40,44,29,23,8,0.632,2
2013-05-23T05,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2
2013-05-23T06,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2
2013-05-23T07,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2
2013-05-23T08,49,64,27,23,3,0.55,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2
2013-05-23T09,46,67,27,32,2,0.584,2,49,64,27,23,3,0.55,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2
2013-05-23T10,45,68,23,31,2,0.624,2,46,67,27,32,2,0.584,2,49,64,27,23,3,0.55,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2
2013-05-23T11,49,69,39,30,2,0.603,2,45,68,23,31,2,0.624,2,46,67,27,32,2,0.584,2,49,64,27,23,3,0.55,2,0,0,0,0,0,0.0,2,0,0,0,0,0,0.0,2
2013-05-23T12,49,66,53,27,2,0.636,2,49,69,39,30,2,0.603,2,45,68,23,31,2,0.624,2,46,67,27,32,2,0.584,2,49,64,27,23,3,0.55,2,0,0,0,0,0,0.0,2
2013-05-23T13,48,62,80,27,2,0.646,1,49,66,53,27,2,0.636,2,49,69,39,30,2,0.603,2,45,68,23,31,2,0.624,2,46,67,27,32,2,0.584,2,49,64,27,23,3,0.55,2
2013-05-23T14,50,65,93,26,4,0.614,2,48,62,80,27,2,0.646,1,49,66,53,27,2,0.636,2,49,69,39,30,2,0.603,2,45,68,23,31,2,0.624,2,46,67,27,32,2,0.584,2
2013-05-23T15,66,81,118,28,5,0.683,2,50,65,93,26,4,0.614,2,48,62,80,27,2,0.646,1,49,66,53,27,2,0.636,2,49,69,39,30,2,0.603,2,45,68,23,31,2,0.624,2
2013-05-23T16,70,96,111,30,6,0.801,2,66,81,118,28,5,0.683,2,50,65,93,26,4,0.614,2,48,62,80,27,2,0.646,1,49,66,53,27,2,0.636,2,49,69,39,30,2,0.603,2
2013-05-23T17,76,105,85,41,8,0.71,2,70,96,111,30,6,0.801,2,66,81,118,28,5,0.683,2,50,65,93,26,4,0.614,2,48,62,80,27,2,0.646,1,49,66,53,27,2,0.636,2
2013-05-23T18,68,106,68,38,6,0.705,2,76,105,85,41,8,0.71,2,70,96,111,30,6,0.801,2,66,81,118,28,5,0.683,2,50,65,93,26,4,0.614,2,48,62,80,27,2,0.646,1
2013-05-23T19,46,88,43,34,3,0.649,2,68,106,68,38,6,0.705,2,76,105,85,41,8,0.71,2,70,96,111,30,6,0.801,2,66,81,118,28,5,0.683,2,50,65,93,26,4,0.614,2
2013-05-23T20,35,62,32,29,3,0.579,2,46,88,43,34,3,0.649,2,68,106,68,38,6,0.705,2,76,105,85,41,8,0.71,2,70,96,111,30,6,0.801,2,66,81,118,28,5,0.683,2
2013-05-23T21,31,59,27,30,3,0.605,2,35,62,32,29,3,0.579,2,46,88,43,34,3,0.649,2,68,106,68,38,6,0.705,2,76,105,85,41,8,0.71,2,70,96,111,30,6,0.801,2
2013-05-23T22,33,54,16,35,3,0.657,2,31,59,27,30,3,0.605,2,35,62,32,29,3,0.579,2,46,88,43,34,3,0.649,2,68,106,68,38,6,0.705,2,76,105,85,41,8,0.71,2
2013-05-23T23,39,55,11,34,3,0.764,2,33,54,16,35,3,0.657,2,31,59,27,30,3,0.605,2,35,62,32,29,3,0.579,2,46,88,43,34,3,0.649,2,68,106,68,38,6,0.705,2
2013-05-24T00,39,56,5,25,3,0.691,2,39,55,11,34,3,0.764,2,33,54,16,35,3,0.657,2,31,59,27,30,3,0.605,2,35,62,32,29,3,0.579,2,46,88,43,34,3,0.649,2
2013-05-24T01,44,48,3,30,3,0.748,2,39,56,5,25,3,0.691,2,39,55,11,34,3,0.764,2,33,54,16,35,3,0.657,2,31,59,27,30,3,0.605,2,35,62,32,29,3,0.579,2
2013-05-24T02,46,52,3,23,3,0.754,2,44,48,3,30,3,0.748,2,39,56,5,25,3,0.691,2,39,55,11,34,3,0.764,2,33,54,16,35,3,0.657,2,31,59,27,30,3,0.605,2
2013-05-24T03,51,58,3,22,3,0.738,2,46,52,3,23,3,0.754,2,44,48,3,30,3,0.748,2,39,56,5,25,3,0.691,2,39,55,11,34,3,0.764,2,33,54,16,35,3,0.657,2
2013-05-24T04,51,67,3,15,2,0.779,2,51,58,3,22,3,0.738,2,46,52,3,23,3,0.754,2,44,48,3,30,3,0.748,2,39,56,5,25,3,0.691,2,39,55,11,34,3,0.764,2
2013-05-24T05,52,68,3,9,2,0.768,2,51,67,3,15,2,0.779,2,51,58,3,22,3,0.738,2,46,52,3,23,3,0.754,2,44,48,3,30,3,0.748,2,39,56,5,25,3,0.691,2
2013-05-24T06,59,77,3,8,3,0.718,2,52,68,3,9,2,0.768,2,51,67,3,15,2,0.779,2,51,58,3,22,3,0.738,2,46,52,3,23,3,0.754,2,44,48,3,30,3,0.748,2
2013-05-24T07,61,84,4,24,5,0.796,2,59,77,3,8,3,0.718,2,52,68,3,9,2,0.768,2,51,67,3,15,2,0.779,2,51,58,3,22,3,0.738,2,46,52,3,23,3,0.754,2
2013-05-24T08,62,90,20,39,15,0.778,2,61,84,4,24,5,0.796,2,59,77,3,8,3,0.718,2,52,68,3,9,2,0.768,2,51,67,3,15,2,0.779,2,51,58,3,22,3,0.738,2
2013-05-24T09,61,101,47,35,22,0.694,2,62,90,20,39,15,0.778,2,61,84,4,24,5,0.796,2,59,77,3,8,3,0.718,2,52,68,3,9,2,0.768,2,51,67,3,15,2,0.779,2
2013-05-24T10,51,92,70,30,24,0.658,2,61,101,47,35,22,0.694,2,62,90,20,39,15,0.778,2,61,84,4,24,5,0.796,2,59,77,3,8,3,0.718,2,52,68,3,9,2,0.768,2
2013-05-24T11,40,75,107,15,16,0.599,2,51,92,70,30,24,0.658,2,61,101,47,35,22,0.694,2,62,90,20,39,15,0.778,2,61,84,4,24,5,0.796,2,59,77,3,8,3,0.718,2
2013-05-24T12,41,64,143,11,11,0.626,2,40,75,107,15,16,0.599,2,51,92,70,30,24,0.658,2,61,101,47,35,22,0.694,2,62,90,20,39,15,0.778,2,61,84,4,24,5,0.796,2
2013-05-24T13,39,69,175,11,10,0.604,2,41,64,143,11,11,0.626,2,40,75,107,15,16,0.599,2,51,92,70,30,24,0.658,2,61,101,47,35,22,0.694,2,62,90,20,39,15,0.778,2
2013-05-24T14,34,60,157,8,6,0.581,2,39,69,175,11,10,0.604,2,41,64,143,11,11,0.626,2,40,75,107,15,16,0.599,2,51,92,70,30,24,0.658,2,61,101,47,35,22,0.694,2
2013-05-24T15,31,47,143,6,5,0.559,2,34,60,157,8,6,0.581,2,39,69,175,11,10,0.604,2,41,64,143,11,11,0.626,2,40,75,107,15,16,0.599,2,51,92,70,30,24,0.658,2
2013-05-24T16,35,72,113,14,9,0.658,4,31,47,143,6,5,0.559,2,34,60,157,8,6,0.581,2,39,69,175,11,10,0.604,2,41,64,143,11,11,0.626,2,40,75,107,15,16,0.599,2
2013-05-24T17,36,86,118,22,15,0.646,4,35,72,113,14,9,0.658,4,31,47,143,6,5,0.559,2,34,60,157,8,6,0.581,2,39,69,175,11,10,0.604,2,41,64,143,11,11,0.626,2
2013-05-24T18,39,87,95,30,10,0.699,4,36,86,118,22,15,0.646,4,35,72,113,14,9,0.658,4,31,47,143,6,5,0.559,2,34,60,157,8,6,0.581,2,39,69,175,11,10,0.604,2
2013-05-24T19,49,97,83,35,8,0.808,4,39,87,95,30,10,0.699,4,36,86,118,22,15,0.646,4,35,72,113,14,9,0.658,4,31,47,143,6,5,0.559,2,34,60,157,8,6,0.581,2
2013-05-24T20,60,111,61,39,8,0.826,4,49,97,83,35,8,0.808,4,39,87,95,30,10,0.699,4,36,86,118,22,15,0.646,4,35,72,113,14,9,0.658,4,31,47,143,6,5,0.559,2
2013-05-24T21,66,110,34,40,6,0.862,2,60,111,61,39,8,0.826,4,49,97,83,35,8,0.808,4,39,87,95,30,10,0.699,4,36,86,118,22,15,0.646,4,35,72,113,14,9,0.658,4
2013-05-24T22,71,114,16,43,7,0.885,2,66,110,34,40,6,0.862,2,60,111,61,39,8,0.826,4,49,97,83,35,8,0.808,4,39,87,95,30,10,0.699,4,36,86,118,22,15,0.646,4
2013-05-24T23,75,114,5,48,5,0.977,2,71,114,16,43,7,0.885,2,66,110,34,40,6,0.862,2,60,111,61,39,8,0.826,4,49,97,83,35,8,0.808,4,39,87,95,30,10,0.699,4
2013-05-25T00,79,117,4,51,5,1.022,2,75,114,5,48,5,0.977,2,71,114,16,43,7,0.885,2,66,110,34,40,6,0.862,2,60,111,61,39,8,0.826,4,49,97,83,35,8,0.808,4
2013-05-25T01,60,104,11,34,5,0.755,2,79,117,4,51,5,1.022,2,75,114,5,48,5,0.977,2,71,114,16,43,7,0.885,2,66,110,34,40,6,0.862,2,60,111,61,39,8,0.826,4
2013-05-25T02,40,60,26,17,4,0.545,2,60,104,11,34,5,0.755,2,79,117,4,51,5,1.022,2,75,114,5,48,5,0.977,2,71,114,16,43,7,0.885,2,66,110,34,40,6,0.862,2
2013-05-25T03,36,43,24,15,4,0.497,2,40,60,26,17,4,0.545,2,60,104,11,34,5,0.755,2,79,117,4,51,5,1.022,2,75,114,5,48,5,0.977,2,71,114,16,43,7,0.885,2
2013-05-25T04,37,45,16,19,3,0.505,2,36,43,24,15,4,0.497,2,40,60,26,17,4,0.545,2,60,104,11,34,5,0.755,2,79,117,4,51,5,1.022,2,75,114,5,48,5,0.977,2
2013-05-25T05,38,50,13,19,3,0.522,2,37,45,16,19,3,0.505,2,36,43,24,15,4,0.497,2,40,60,26,17,4,0.545,2,60,104,11,34,5,0.755,2,79,117,4,51,5,1.022,2
2013-05-25T06,39,49,24,21,6,0.517,2,38,50,13,19,3,0.522,2,37,45,16,19,3,0.505,2,36,43,24,15,4,0.497,2,40,60,26,17,4,0.545,2,60,104,11,34,5,0.755,2
2013-05-25T07,50,70,24,30,11,0.63,2,39,49,24,21,6,0.517,2,38,50,13,19,3,0.522,2,37,45,16,19,3,0.505,2,36,43,24,15,4,0.497,2,40,60,26,17,4,0.545,2
2013-05-25T08,54,90,43,33,20,0.681,2,50,70,24,30,11,0.63,2,39,49,24,21,6,0.517,2,38,50,13,19,3,0.522,2,37,45,16,19,3,0.505,2,36,43,24,15,4,0.497,2
2013-05-25T09,45,81,64,25,18,0.621,2,54,90,43,33,20,0.681,2,50,70,24,30,11,0.63,2,39,49,24,21,6,0.517,2,38,50,13,19,3,0.522,2,37,45,16,19,3,0.505,2
2013-05-25T10,44,68,91,21,17,0.598,2,45,81,64,25,18,0.621,2,54,90,43,33,20,0.681,2,50,70,24,30,11,0.63,2,39,49,24,21,6,0.517,2,38,50,13,19,3,0.522,2
2013-05-25T11,52,77,134,17,20,0.637,2,44,68,91,21,17,0.598,2,45,81,64,25,18,0.621,2,54,90,43,33,20,0.681,2,50,70,24,30,11,0.63,2,39,49,24,21,6,0.517,2
2013-05-25T12,50,76,155,13,14,0.587,2,52,77,134,17,20,0.637,2,44,68,91,21,17,0.598,2,45,81,64,25,18,0.621,2,54,90,43,33,20,0.681,2,50,70,24,30,11,0.63,2
2013-05-25T13,46,65,184,13,10,0.558,4,50,76,155,13,14,0.587,2,52,77,134,17,20,0.637,2,44,68,91,21,17,0.598,2,45,81,64,25,18,0.621,2,54,90,43,33,20,0.681,2
2013-05-25T14,45,71,197,13,11,0.542,4,46,65,184,13,10,0.558,4,50,76,155,13,14,0.587,2,52,77,134,17,20,0.637,2,44,68,91,21,17,0.598,2,45,81,64,25,18,0.621,2
2013-05-25T15,43,79,182,11,9,0.537,4,45,71,197,13,11,0.542,4,46,65,184,13,10,0.558,4,50,76,155,13,14,0.587,2,52,77,134,17,20,0.637,2,44,68,91,21,17,0.598,2
2013-05-25T16,40,75,145,10,7,0.537,4,43,79,182,11,9,0.537,4,45,71,197,13,11,0.542,4,46,65,184,13,10,0.558,4,50,76,155,13,14,0.587,2,52,77,134,17,20,0.637,2
2013-05-25T17,38,55,117,15,5,0.518,4,40,75,145,10,7,0.537,4,43,79,182,11,9,0.537,4,45,71,197,13,11,0.542,4,46,65,184,13,10,0.558,4,50,76,155,13,14,0.587,2
2013-05-25T18,44,66,92,21,9,0.616,4,38,55,117,15,5,0.518,4,40,75,145,10,7,0.537,4,43,79,182,11,9,0.537,4,45,71,197,13,11,0.542,4,46,65,184,13,10,0.558,4
2013-05-25T19,56,90,84,37,17,0.768,4,44,66,92,21,9,0.616,4,38,55,117,15,5,0.518,4,40,75,145,10,7,0.537,4,43,79,182,11,9,0.537,4,45,71,197,13,11,0.542,4
2013-05-25T20,47,98,56,26,10,0.628,4,56,90,84,37,17,0.768,4,44,66,92,21,9,0.616,4,38,55,117,15,5,0.518,4,40,75,145,10,7,0.537,4,43,79,182,11,9,0.537,4
2013-05-25T21,41,66,79,26,10,0.558,2,47,98,56,26,10,0.628,4,56,90,84,37,17,0.768,4,44,66,92,21,9,0.616,4,38,55,117,15,5,0.518,4,40,75,145,10,7,0.537,4
2013-05-25T22,39,57,82,30,10,0.503,2,41,66,79,26,10,0.558,2,47,98,56,26,10,0.628,4,56,90,84,37,17,0.768,4,44,66,92,21,9,0.616,4,38,55,117,15,5,0.518,4
2013-05-25T23,37,59,78,23,8,0.472,2,39,57,82,30,10,0.503,2,41,66,79,26,10,0.558,2,47,98,56,26,10,0.628,4,56,90,84,37,17,0.768,4,44,66,92,21,9,0.616,4
2013-05-26T00,36,52,75,18,8,0.437,2,37,59,78,23,8,0.472,2,39,57,82,30,10,0.503,2,41,66,79,26,10,0.558,2,47,98,56,26,10,0.628,4,56,90,84,37,17,0.768,4
2013-05-26T01,33,39,79,16,8,0.396,2,36,52,75,18,8,0.437,2,37,59,78,23,8,0.472,2,39,57,82,30,10,0.503,2,41,66,79,26,10,0.558,2,47,98,56,26,10,0.628,4
2013-05-26T02,32,36,76,16,8,0.372,2,33,39,79,16,8,0.396,2,36,52,75,18,8,0.437,2,37,59,78,23,8,0.472,2,39,57,82,30,10,0.503,2,41,66,79,26,10,0.558,2
2013-05-26T03,31,35,72,16,8,0.361,2,32,36,76,16,8,0.372,2,33,39,79,16,8,0.396,2,36,52,75,18,8,0.437,2,37,59,78,23,8,0.472,2,39,57,82,30,10,0.503,2
2013-05-26T04,30,36,72,17,8,0.346,2,31,35,72,16,8,0.361,2,32,36,76,16,8,0.372,2,33,39,79,16,8,0.396,2,36,52,75,18,8,0.437,2,37,59,78,23,8,0.472,2
2013-05-26T05,30,44,72,15,7,0.344,2,30,36,72,17,8,0.346,2,31,35,72,16,8,0.361,2,32,36,76,16,8,0.372,2,33,39,79,16,8,0.396,2,36,52,75,18,8,0.437,2
2013-05-26T06,32,44,69,17,9,0.358,2,30,44,72,15,7,0.344,2,30,36,72,17,8,0.346,2,31,35,72,16,8,0.361,2,32,36,76,16,8,0.372,2,33,39,79,16,8,0.396,2
2013-05-26T07,34,46,68,18,9,0.387,2,32,44,69,17,9,0.358,2,30,44,72,15,7,0.344,2,30,36,72,17,8,0.346,2,31,35,72,16,8,0.361,2,32,36,76,16,8,0.372,2
2013-05-26T08,38,48,71,18,10,0.398,2,34,46,68,18,9,0.387,2,32,44,69,17,9,0.358,2,30,44,72,15,7,0.344,2,30,36,72,17,8,0.346,2,31,35,72,16,8,0.361,2
2013-05-26T09,41,59,67,21,12,0.423,2,38,48,71,18,10,0.398,2,34,46,68,18,9,0.387,2,32,44,69,17,9,0.358,2,30,44,72,15,7,0.344,2,30,36,72,17,8,0.346,2
2013-05-26T10,43,66,71,19,9,0.424,2,41,59,67,21,12,0.423,2,38,48,71,18,10,0.398,2,34,46,68,18,9,0.387,2,32,44,69,17,9,0.358,2,30,44,72,15,7,0.344,2
2013-05-26T11,44,72,71,22,10,0.462,2,43,66,71,19,9,0.424,2,41,59,67,21,12,0.423,2,38,48,71,18,10,0.398,2,34,46,68,18,9,0.387,2,32,44,69,17,9,0.358,2
2013-05-26T12,44,72,79,20,11,0.465,1,44,72,71,22,10,0.462,2,43,66,71,19,9,0.424,2,41,59,67,21,12,0.423,2,38,48,71,18,10,0.398,2,34,46,68,18,9,0.387,2
2013-05-26T13,39,72,93,13,7,0.423,1,44,72,79,20,11,0.465,1,44,72,71,22,10,0.462,2,43,66,71,19,9,0.424,2,41,59,67,21,12,0.423,2,38,48,71,18,10,0.398,2
2013-05-26T14,34,66,97,11,6,0.408,1,39,72,93,13,7,0.423,1,44,72,79,20,11,0.465,1,44,72,71,22,10,0.462,2,43,66,71,19,9,0.424,2,41,59,67,21,12,0.423,2
2013-05-26T15,31,61,98,13,5,0.413,3,34,66,97,11,6,0.408,1,39,72,93,13,7,0.423,1,44,72,79,20,11,0.465,1,44,72,71,22,10,0.462,2,43,66,71,19,9,0.424,2
2013-05-26T16,29,56,92,17,6,0.43,1,31,61,98,13,5,0.413,3,34,66,97,11,6,0.408,1,39,72,93,13,7,0.423,1,44,72,79,20,11,0.465,1,44,72,71,22,10,0.462,2
2013-05-26T17,30,59,86,22,6,0.466,3,29,56,92,17,6,0.43,1,31,61,98,13,5,0.413,3,34,66,97,11,6,0.408,1,39,72,93,13,7,0.423,1,44,72,79,20,11,0.465,1
2013-05-26T18,25,56,84,15,6,0.429,3,30,59,86,22,6,0.466,3,29,56,92,17,6,0.43,1,31,61,98,13,5,0.413,3,34,66,97,11,6,0.408,1,39,72,93,13,7,0.423,1
2013-05-26T19,24,51,78,11,5,0.412,3,25,56,84,15,6,0.429,3,30,59,86,22,6,0.466,3,29,56,92,17,6,0.43,1,31,61,98,13,5,0.413,3,34,66,97,11,6,0.408,1
2013-05-26T20,22,48,74,10,6,0.415,3,24,51,78,11,5,0.412,3,25,56,84,15,6,0.429,3,30,59,86,22,6,0.466,3,29,56,92,17,6,0.43,1,31,61,98,13,5,0.413,3
2013-05-26T21,19,41,68,11,5,0.412,3,22,48,74,10,6,0.415,3,24,51,78,11,5,0.412,3,25,56,84,15,6,0.429,3,30,59,86,22,6,0.466,3,29,56,92,17,6,0.43,1
2013-05-26T22,18,31,64,11,6,0.413,3,19,41,68,11,5,0.412,3,22,48,74,10,6,0.415,3,24,51,78,11,5,0.412,3,25,56,84,15,6,0.429,3,30,59,86,22,6,0.466,3
2013-05-26T23,18,28,61,11,6,0.408,3,18,31,64,11,6,0.413,3,19,41,68,11,5,0.412,3,22,48,74,10,6,0.415,3,24,51,78,11,5,0.412,3,25,56,84,15,6,0.429,3
2013-05-27T00,17,27,59,9,5,0.391,0,18,28,61,11,6,0.408,3,18,31,64,11,6,0.413,3,19,41,68,11,5,0.412,3,22,48,74,10,6,0.415,3,24,51,78,11,5,0.412,3
2013-05-27T01,16,25,59,7,4,0.381,0,17,27,59,9,5,0.391,0,18,28,61,11,6,0.408,3,18,31,64,11,6,0.413,3,19,41,68,11,5,0.412,3,22,48,74,10,6,0.415,3
2013-05-27T02,16,23,51,10,4,0.397,0,16,25,59,7,4,0.381,0,17,27,59,9,5,0.391,0,18,28,61,11,6,0.408,3,18,31,64,11,6,0.413,3,19,41,68,11,5,0.412,3
2013-05-27T03,16,20,51,9,4,0.405,0,16,23,51,10,4,0.397,0,16,25,59,7,4,0.381,0,17,27,59,9,5,0.391,0,18,28,61,11,6,0.408,3,18,31,64,11,6,0.413,3
2013-05-27T04,16,27,52,7,4,0.398,0,16,20,51,9,4,0.405,0,16,23,51,10,4,0.397,0,16,25,59,7,4,0.381,0,17,27,59,9,5,0.391,0,18,28,61,11,6,0.408,3
2013-05-27T05,16,25,47,6,4,0.412,0,16,27,52,7,4,0.398,0,16,20,51,9,4,0.405,0,16,23,51,10,4,0.397,0,16,25,59,7,4,0.381,0,17,27,59,9,5,0.391,0
