KB,pm2_5-0,pm10-0,o3-0,no2-0,so2-0,co-0,primary_pollutant_code-0,pm2_5-1,pm10-1,o3-1,no2-1,so2-1,co-1,primary_pollutant_code-1,pm2_5-2,pm10-2,o3-2,no2-2,so2-2,co-2,primary_pollutant_code-2,pm2_5-3,pm10-3,o3-3,no2-3,so2-3,co-3,primary_pollutant_code-3,pm2_5-4,pm10-4,o3-4,no2-4,so2-4,co-4,primary_pollutant_code-4,pm2_5-5,pm10-5,o3-5,no2-5,so2-5,co-5,primary_pollutant_code-5
2013-05-24T14,26,30,104,7,4,0.2,2,25,78,106,6,6,0.2,2,21,32,89,10,4,0.2,2,20,0,79,11,4,0.2,2,15,29,68,16,7,0.3,2,51,0,40,42,18,0.6,2
2013-05-24T15,8,13,104,7,4,0.2,2,26,30,104,7,4,0.2,2,25,78,106,6,6,0.2,2,21,32,89,10,4,0.2,2,20,0,79,11,4,0.2,2,15,29,68,16,7,0.3,2
2013-05-24T16,18,35,98,7,3,0.2,2,8,13,104,7,4,0.2,2,26,30,104,7,4,0.2,2,25,78,106,6,6,0.2,2,21,32,89,10,4,0.2,2,20,0,79,11,4,0.2,2
2013-05-24T17,16,44,96,8,3,0.2,2,18,35,98,7,3,0.2,2,8,13,104,7,4,0.2,2,26,30,104,7,4,0.2,2,25,78,106,6,6,0.2,2,21,32,89,10,4,0.2,2
2013-05-24T18,15,34,86,18,3,0.2,2,16,44,96,8,3,0.2,2,18,35,98,7,3,0.2,2,8,13,104,7,4,0.2,2,26,30,104,7,4,0.2,2,25,78,106,6,6,0.2,2
2013-05-24T19,20,33,77,24,3,0.3,2,15,34,86,18,3,0.2,2,16,44,96,8,3,0.2,2,18,35,98,7,3,0.2,2,8,13,104,7,4,0.2,2,26,30,104,7,4,0.2,2
2013-05-24T20,17,51,79,21,6,0.3,2,20,33,77,24,3,0.3,2,15,34,86,18,3,0.2,2,16,44,96,8,3,0.2,2,18,35,98,7,3,0.2,2,8,13,104,7,4,0.2,2
2013-05-24T21,18,39,79,17,6,0.3,2,17,51,79,21,6,0.3,2,20,33,77,24,3,0.3,2,15,34,86,18,3,0.2,2,16,44,96,8,3,0.2,2,18,35,98,7,3,0.2,2
2013-05-24T22,13,26,79,15,5,0.3,2,18,39,79,17,6,0.3,2,17,51,79,21,6,0.3,2,20,33,77,24,3,0.3,2,15,34,86,18,3,0.2,2,16,44,96,8,3,0.2,2
2013-05-24T23,19,36,70,20,7,0.3,2,13,26,79,15,5,0.3,2,18,39,79,17,6,0.3,2,17,51,79,21,6,0.3,2,20,33,77,24,3,0.3,2,15,34,86,18,3,0.2,2
2013-05-25T00,20,31,60,24,8,0.4,2,19,36,70,20,7,0.3,2,13,26,79,15,5,0.3,2,18,39,79,17,6,0.3,2,17,51,79,21,6,0.3,2,20,33,77,24,3,0.3,2
2013-05-25T01,17,24,53,24,7,0.3,2,20,31,60,24,8,0.4,2,19,36,70,20,7,0.3,2,13,26,79,15,5,0.3,2,18,39,79,17,6,0.3,2,17,51,79,21,6,0.3,2
2013-05-25T02,21,33,46,25,0,0.3,3,17,24,53,24,7,0.3,2,20,31,60,24,8,0.4,2,19,36,70,20,7,0.3,2,13,26,79,15,5,0.3,2,18,39,79,17,6,0.3,2
2013-05-25T03,21,35,0,34,8,0.0,3,21,33,46,25,0,0.3,3,17,24,53,24,7,0.3,2,20,31,60,24,8,0.4,2,19,36,70,20,7,0.3,2,13,26,79,15,5,0.3,2
2013-05-25T04,24,47,31,0,8,0.4,3,21,35,0,34,8,0.0,3,21,33,46,25,0,0.3,3,17,24,53,24,7,0.3,2,20,31,60,24,8,0.4,2,19,36,70,20,7,0.3,2
2013-05-25T05,26,34,25,36,7,0.4,3,24,47,31,0,8,0.4,3,21,35,0,34,8,0.0,3,21,33,46,25,0,0.3,3,17,24,53,24,7,0.3,2,20,31,60,24,8,0.4,2
2013-05-25T06,28,58,24,36,8,0.5,3,26,34,25,36,7,0.4,3,24,47,31,0,8,0.4,3,21,35,0,34,8,0.0,3,21,33,46,25,0,0.3,3,17,24,53,24,7,0.3,2
2013-05-25T07,41,72,19,42,14,0.6,0,28,58,24,36,8,0.5,3,26,34,25,36,7,0.4,3,24,47,31,0,8,0.4,3,21,35,0,34,8,0.0,3,21,33,46,25,0,0.3,3
2013-05-25T08,42,64,28,42,20,0.6,0,41,72,19,42,14,0.6,0,28,58,24,36,8,0.5,3,26,34,25,36,7,0.4,3,24,47,31,0,8,0.4,3,21,35,0,34,8,0.0,3
2013-05-25T09,45,51,43,40,24,0.5,0,42,64,28,42,20,0.6,0,41,72,19,42,14,0.6,0,28,58,24,36,8,0.5,3,26,34,25,36,7,0.4,3,24,47,31,0,8,0.4,3
2013-05-25T10,44,65,67,41,19,0.5,0,45,51,43,40,24,0.5,0,42,64,28,42,20,0.6,0,41,72,19,42,14,0.6,0,28,58,24,36,8,0.5,3,26,34,25,36,7,0.4,3
2013-05-25T11,35,98,99,38,17,0.5,0,44,65,67,41,19,0.5,0,45,51,43,40,24,0.5,0,42,64,28,42,20,0.6,0,41,72,19,42,14,0.6,0,28,58,24,36,8,0.5,3
2013-05-25T12,41,67,134,32,15,0.5,0,35,98,99,38,17,0.5,0,44,65,67,41,19,0.5,0,45,51,43,40,24,0.5,0,42,64,28,42,20,0.6,0,41,72,19,42,14,0.6,0
2013-05-25T13,51,94,167,30,16,0.6,4,41,67,134,32,15,0.5,0,35,98,99,38,17,0.5,0,44,65,67,41,19,0.5,0,45,51,43,40,24,0.5,0,42,64,28,42,20,0.6,0
2013-05-25T14,60,88,204,24,18,0.6,4,51,94,167,30,16,0.6,4,41,67,134,32,15,0.5,0,35,98,99,38,17,0.5,0,44,65,67,41,19,0.5,0,45,51,43,40,24,0.5,0
2013-05-25T15,77,115,243,25,35,0.9,4,60,88,204,24,18,0.6,4,51,94,167,30,16,0.6,4,41,67,134,32,15,0.5,0,35,98,99,38,17,0.5,0,44,65,67,41,19,0.5,0
2013-05-25T16,88,167,272,27,40,1.1,4,77,115,243,25,35,0.9,4,60,88,204,24,18,0.6,4,51,94,167,30,16,0.6,4,41,67,134,32,15,0.5,0,35,98,99,38,17,0.5,0
2013-05-25T17,109,197,271,35,58,1.7,4,88,167,272,27,40,1.1,4,77,115,243,25,35,0.9,4,60,88,204,24,18,0.6,4,51,94,167,30,16,0.6,4,41,67,134,32,15,0.5,0
2013-05-25T18,106,175,261,35,60,1.8,4,109,197,271,35,58,1.7,4,88,167,272,27,40,1.1,4,77,115,243,25,35,0.9,4,60,88,204,24,18,0.6,4,51,94,167,30,16,0.6,4
2013-05-25T19,94,165,248,36,45,1.6,4,106,175,261,35,60,1.8,4,109,197,271,35,58,1.7,4,88,167,272,27,40,1.1,4,77,115,243,25,35,0.9,4,60,88,204,24,18,0.6,4
2013-05-25T20,96,178,203,43,34,1.399,4,94,165,248,36,45,1.6,4,106,175,261,35,60,1.8,4,109,197,271,35,58,1.7,4,88,167,272,27,40,1.1,4,77,115,243,25,35,0.9,4
2013-05-25T21,95,178,155,45,33,1.5,4,96,178,203,43,34,1.399,4,94,165,248,36,45,1.6,4,106,175,261,35,60,1.8,4,109,197,271,35,58,1.7,4,88,167,272,27,40,1.1,4
2013-05-25T22,91,197,126,42,30,1.399,4,95,178,155,45,33,1.5,4,96,178,203,43,34,1.399,4,94,165,248,36,45,1.6,4,106,175,261,35,60,1.8,4,109,197,271,35,58,1.7,4
2013-05-25T23,90,192,98,40,24,1.0,4,91,197,126,42,30,1.399,4,95,178,155,45,33,1.5,4,96,178,203,43,34,1.399,4,94,165,248,36,45,1.6,4,106,175,261,35,60,1.8,4
2013-05-26T00,86,0,65,38,16,0.7,4,90,192,98,40,24,1.0,4,91,197,126,42,30,1.399,4,95,178,155,45,33,1.5,4,96,178,203,43,34,1.399,4,94,165,248,36,45,1.6,4
2013-05-26T01,82,118,39,36,13,0.5,4,86,0,65,38,16,0.7,4,90,192,98,40,24,1.0,4,91,197,126,42,30,1.399,4,95,178,155,45,33,1.5,4,96,178,203,43,34,1.399,4
2013-05-26T02,77,86,33,31,15,0.5,2,82,118,39,36,13,0.5,4,86,0,65,38,16,0.7,4,90,192,98,40,24,1.0,4,91,197,126,42,30,1.399,4,95,178,155,45,33,1.5,4
2013-05-26T03,77,0,48,19,17,0.5,2,77,86,33,31,15,0.5,2,82,118,39,36,13,0.5,4,86,0,65,38,16,0.7,4,90,192,98,40,24,1.0,4,91,197,126,42,30,1.399,4
2013-05-26T04,69,76,48,20,24,0.5,2,77,0,48,19,17,0.5,2,77,86,33,31,15,0.5,2,82,118,39,36,13,0.5,4,86,0,65,38,16,0.7,4,90,192,98,40,24,1.0,4
2013-05-26T05,85,95,34,30,43,0.8,2,69,76,48,20,24,0.5,2,77,0,48,19,17,0.5,2,77,86,33,31,15,0.5,2,82,118,39,36,13,0.5,4,86,0,65,38,16,0.7,4
2013-05-26T06,109,0,49,24,54,1.1,2,85,95,34,30,43,0.8,2,69,76,48,20,24,0.5,2,77,0,48,19,17,0.5,2,77,86,33,31,15,0.5,2,82,118,39,36,13,0.5,4
2013-05-26T07,90,0,74,14,58,0.8,2,109,0,49,24,54,1.1,2,85,95,34,30,43,0.8,2,69,76,48,20,24,0.5,2,77,0,48,19,17,0.5,2,77,86,33,31,15,0.5,2
2013-05-26T08,80,104,65,22,61,0.8,2,90,0,74,14,58,0.8,2,109,0,49,24,54,1.1,2,85,95,34,30,43,0.8,2,69,76,48,20,24,0.5,2,77,0,48,19,17,0.5,2
2013-05-26T09,112,127,48,40,65,1.0,2,80,104,65,22,61,0.8,2,90,0,74,14,58,0.8,2,109,0,49,24,54,1.1,2,85,95,34,30,43,0.8,2,69,76,48,20,24,0.5,2
2013-05-26T10,110,144,44,42,54,0.9,2,112,127,48,40,65,1.0,2,80,104,65,22,61,0.8,2,90,0,74,14,58,0.8,2,109,0,49,24,54,1.1,2,85,95,34,30,43,0.8,2
2013-05-26T11,104,136,45,45,59,0.9,2,110,144,44,42,54,0.9,2,112,127,48,40,65,1.0,2,80,104,65,22,61,0.8,2,90,0,74,14,58,0.8,2,109,0,49,24,54,1.1,2
2013-05-26T12,96,0,71,29,48,0.8,2,104,136,45,45,59,0.9,2,110,144,44,42,54,0.9,2,112,127,48,40,65,1.0,2,80,104,65,22,61,0.8,2,90,0,74,14,58,0.8,2
2013-05-26T13,104,113,75,31,47,0.8,2,96,0,71,29,48,0.8,2,104,136,45,45,59,0.9,2,110,144,44,42,54,0.9,2,112,127,48,40,65,1.0,2,80,104,65,22,61,0.8,2
2013-05-26T14,107,140,66,39,50,1.2,2,104,113,75,31,47,0.8,2,96,0,71,29,48,0.8,2,104,136,45,45,59,0.9,2,110,144,44,42,54,0.9,2,112,127,48,40,65,1.0,2
2013-05-26T15,113,0,77,43,75,1.5,2,107,140,66,39,50,1.2,2,104,113,75,31,47,0.8,2,96,0,71,29,48,0.8,2,104,136,45,45,59,0.9,2,110,144,44,42,54,0.9,2
2013-05-26T16,114,129,82,39,74,1.7,2,113,0,77,43,75,1.5,2,107,140,66,39,50,1.2,2,104,113,75,31,47,0.8,2,96,0,71,29,48,0.8,2,104,136,45,45,59,0.9,2
2013-05-26T17,112,142,81,35,76,1.6,2,114,129,82,39,74,1.7,2,113,0,77,43,75,1.5,2,107,140,66,39,50,1.2,2,104,113,75,31,47,0.8,2,96,0,71,29,48,0.8,2
2013-05-26T18,116,157,71,36,66,1.399,2,112,142,81,35,76,1.6,2,114,129,82,39,74,1.7,2,113,0,77,43,75,1.5,2,107,140,66,39,50,1.2,2,104,113,75,31,47,0.8,2
2013-05-26T19,104,118,66,29,39,1.0,2,116,157,71,36,66,1.399,2,112,142,81,35,76,1.6,2,114,129,82,39,74,1.7,2,113,0,77,43,75,1.5,2,107,140,66,39,50,1.2,2
2013-05-26T20,76,108,47,25,15,0.7,2,104,118,66,29,39,1.0,2,116,157,71,36,66,1.399,2,112,142,81,35,76,1.6,2,114,129,82,39,74,1.7,2,113,0,77,43,75,1.5,2
2013-05-26T21,67,0,26,30,8,0.9,2,76,108,47,25,15,0.7,2,104,118,66,29,39,1.0,2,116,157,71,36,66,1.399,2,112,142,81,35,76,1.6,2,114,129,82,39,74,1.7,2
2013-05-26T22,66,0,41,24,8,0.6,2,67,0,26,30,8,0.9,2,76,108,47,25,15,0.7,2,104,118,66,29,39,1.0,2,116,157,71,36,66,1.399,2,112,142,81,35,76,1.6,2
2013-05-26T23,47,0,57,12,6,0.3,2,66,0,41,24,8,0.6,2,67,0,26,30,8,0.9,2,76,108,47,25,15,0.7,2,104,118,66,29,39,1.0,2,116,157,71,36,66,1.399,2
2013-05-27T00,42,0,62,10,6,0.2,2,47,0,57,12,6,0.3,2,66,0,41,24,8,0.6,2,67,0,26,30,8,0.9,2,76,108,47,25,15,0.7,2,104,118,66,29,39,1.0,2
2013-05-27T01,41,0,63,6,6,0.2,2,42,0,62,10,6,0.2,2,47,0,57,12,6,0.3,2,66,0,41,24,8,0.6,2,67,0,26,30,8,0.9,2,76,108,47,25,15,0.7,2
2013-05-27T02,0,0,0,0,0,0.0,2,41,0,63,6,6,0.2,2,42,0,62,10,6,0.2,2,47,0,57,12,6,0.3,2,66,0,41,24,8,0.6,2,67,0,26,30,8,0.9,2
2013-05-27T03,37,0,70,2,5,0.2,2,0,0,0,0,0,0.0,2,41,0,63,6,6,0.2,2,42,0,62,10,6,0.2,2,47,0,57,12,6,0.3,2,66,0,41,24,8,0.6,2
2013-05-27T04,21,21,59,3,6,0.2,2,37,0,70,2,5,0.2,2,0,0,0,0,0,0.0,2,41,0,63,6,6,0.2,2,42,0,62,10,6,0.2,2,47,0,57,12,6,0.3,2
2013-05-27T05,39,0,60,4,6,0.3,2,21,21,59,3,6,0.2,2,37,0,70,2,5,0.2,2,0,0,0,0,0,0.0,2,41,0,63,6,6,0.2,2,42,0,62,10,6,0.2,2
