KB,pm2_5-0,pm10-0,o3-0,no2-0,so2-0,co-0,primary_pollutant_code-0,pm2_5-1,pm10-1,o3-1,no2-1,so2-1,co-1,primary_pollutant_code-1,pm2_5-2,pm10-2,o3-2,no2-2,so2-2,co-2,primary_pollutant_code-2,pm2_5-3,pm10-3,o3-3,no2-3,so2-3,co-3,primary_pollutant_code-3,pm2_5-4,pm10-4,o3-4,no2-4,so2-4,co-4,primary_pollutant_code-4,pm2_5-5,pm10-5,o3-5,no2-5,so2-5,co-5,primary_pollutant_code-5
2013-05-22T09,106,187,74,72,41,1.5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T10,107,212,98,66,45,1.3,3,106,187,74,72,41,1.5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T11,103,172,148,38,45,1.1,3,107,212,98,66,45,1.3,3,106,187,74,72,41,1.5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T12,88,175,177,34,42,1.0,3,103,172,148,38,45,1.1,3,107,212,98,66,45,1.3,3,106,187,74,72,41,1.5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T13,96,188,207,28,44,1.0,1,88,175,177,34,42,1.0,3,103,172,148,38,45,1.1,3,107,212,98,66,45,1.3,3,106,187,74,72,41,1.5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-22T14,108,218,246,21,58,1.2,2,96,188,207,28,44,1.0,1,88,175,177,34,42,1.0,3,103,172,148,38,45,1.1,3,107,212,98,66,45,1.3,3,106,187,74,72,41,1.5,3
2013-05-22T15,106,194,238,22,54,1.3,2,108,218,246,21,58,1.2,2,96,188,207,28,44,1.0,1,88,175,177,34,42,1.0,3,103,172,148,38,45,1.1,3,107,212,98,66,45,1.3,3
2013-05-22T16,87,163,229,22,43,1.2,2,106,194,238,22,54,1.3,2,108,218,246,21,58,1.2,2,96,188,207,28,44,1.0,1,88,175,177,34,42,1.0,3,103,172,148,38,45,1.1,3
2013-05-22T17,76,131,203,24,28,0.9,4,87,163,229,22,43,1.2,2,106,194,238,22,54,1.3,2,108,218,246,21,58,1.2,2,96,188,207,28,44,1.0,1,88,175,177,34,42,1.0,3
2013-05-22T18,61,86,177,27,20,0.6,4,76,131,203,24,28,0.9,4,87,163,229,22,43,1.2,2,106,194,238,22,54,1.3,2,108,218,246,21,58,1.2,2,96,188,207,28,44,1.0,1
2013-05-22T19,46,0,128,36,13,0.4,4,61,86,177,27,20,0.6,4,76,131,203,24,28,0.9,4,87,163,229,22,43,1.2,2,106,194,238,22,54,1.3,2,108,218,246,21,58,1.2,2
2013-05-22T20,38,73,113,41,13,0.5,4,46,0,128,36,13,0.4,4,61,86,177,27,20,0.6,4,76,131,203,24,28,0.9,4,87,163,229,22,43,1.2,2,106,194,238,22,54,1.3,2
2013-05-22T21,40,64,82,46,9,0.4,4,38,73,113,41,13,0.5,4,46,0,128,36,13,0.4,4,61,86,177,27,20,0.6,4,76,131,203,24,28,0.9,4,87,163,229,22,43,1.2,2
2013-05-22T22,39,80,61,48,5,0.4,2,40,64,82,46,9,0.4,4,38,73,113,41,13,0.5,4,46,0,128,36,13,0.4,4,61,86,177,27,20,0.6,4,76,131,203,24,28,0.9,4
2013-05-22T23,37,86,42,58,5,0.5,2,39,80,61,48,5,0.4,2,40,64,82,46,9,0.4,4,38,73,113,41,13,0.5,4,46,0,128,36,13,0.4,4,61,86,177,27,20,0.6,4
2013-05-23T00,50,96,58,37,6,0.5,2,37,86,42,58,5,0.5,2,39,80,61,48,5,0.4,2,40,64,82,46,9,0.4,4,38,73,113,41,13,0.5,4,46,0,128,36,13,0.4,4
2013-05-23T01,28,74,63,27,5,0.4,2,50,96,58,37,6,0.5,2,37,86,42,58,5,0.5,2,39,80,61,48,5,0.4,2,40,64,82,46,9,0.4,4,38,73,113,41,13,0.5,4
2013-05-23T02,34,46,63,23,4,0.4,2,28,74,63,27,5,0.4,2,50,96,58,37,6,0.5,2,37,86,42,58,5,0.5,2,39,80,61,48,5,0.4,2,40,64,82,46,9,0.4,4
2013-05-23T03,24,36,67,18,3,0.3,2,34,46,63,23,4,0.4,2,28,74,63,27,5,0.4,2,50,96,58,37,6,0.5,2,37,86,42,58,5,0.5,2,39,80,61,48,5,0.4,2
2013-05-23T04,22,38,58,25,3,0.3,2,24,36,67,18,3,0.3,2,34,46,63,23,4,0.4,2,28,74,63,27,5,0.4,2,50,96,58,37,6,0.5,2,37,86,42,58,5,0.5,2
2013-05-23T05,16,25,60,24,3,0.3,1,22,38,58,25,3,0.3,2,24,36,67,18,3,0.3,2,34,46,63,23,4,0.4,2,28,74,63,27,5,0.4,2,50,96,58,37,6,0.5,2
2013-05-23T06,26,65,48,34,4,0.3,1,16,25,60,24,3,0.3,1,22,38,58,25,3,0.3,2,24,36,67,18,3,0.3,2,34,46,63,23,4,0.4,2,28,74,63,27,5,0.4,2
2013-05-23T07,36,120,4,80,15,0.6,3,26,65,48,34,4,0.3,1,16,25,60,24,3,0.3,1,22,38,58,25,3,0.3,2,24,36,67,18,3,0.3,2,34,46,63,23,4,0.4,2
2013-05-23T08,39,137,5,75,13,0.6,3,36,120,4,80,15,0.6,3,26,65,48,34,4,0.3,1,16,25,60,24,3,0.3,1,22,38,58,25,3,0.3,2,24,36,67,18,3,0.3,2
2013-05-23T09,38,48,28,64,12,0.6,3,39,137,5,75,13,0.6,3,36,120,4,80,15,0.6,3,26,65,48,34,4,0.3,1,16,25,60,24,3,0.3,1,22,38,58,25,3,0.3,2
2013-05-23T10,53,62,40,68,12,0.6,3,38,48,28,64,12,0.6,3,39,137,5,75,13,0.6,3,36,120,4,80,15,0.6,3,26,65,48,34,4,0.3,1,16,25,60,24,3,0.3,1
2013-05-23T11,41,82,41,71,18,0.6,3,53,62,40,68,12,0.6,3,38,48,28,64,12,0.6,3,39,137,5,75,13,0.6,3,36,120,4,80,15,0.6,3,26,65,48,34,4,0.3,1
2013-05-23T12,48,102,80,46,21,0.6,3,41,82,41,71,18,0.6,3,53,62,40,68,12,0.6,3,38,48,28,64,12,0.6,3,39,137,5,75,13,0.6,3,36,120,4,80,15,0.6,3
2013-05-23T13,36,84,102,39,17,0.6,3,48,102,80,46,21,0.6,3,41,82,41,71,18,0.6,3,53,62,40,68,12,0.6,3,38,48,28,64,12,0.6,3,39,137,5,75,13,0.6,3
2013-05-23T14,45,101,130,30,15,0.5,3,36,84,102,39,17,0.6,3,48,102,80,46,21,0.6,3,41,82,41,71,18,0.6,3,53,62,40,68,12,0.6,3,38,48,28,64,12,0.6,3
2013-05-23T15,41,127,149,33,16,0.5,3,45,101,130,30,15,0.5,3,36,84,102,39,17,0.6,3,48,102,80,46,21,0.6,3,41,82,41,71,18,0.6,3,53,62,40,68,12,0.6,3
2013-05-23T16,77,146,154,54,25,0.8,3,41,127,149,33,16,0.5,3,45,101,130,30,15,0.5,3,36,84,102,39,17,0.6,3,48,102,80,46,21,0.6,3,41,82,41,71,18,0.6,3
2013-05-23T17,79,148,145,79,34,1.1,3,77,146,154,54,25,0.8,3,41,127,149,33,16,0.5,3,45,101,130,30,15,0.5,3,36,84,102,39,17,0.6,3,48,102,80,46,21,0.6,3
2013-05-23T18,115,281,170,80,57,1.8,3,79,148,145,79,34,1.1,3,77,146,154,54,25,0.8,3,41,127,149,33,16,0.5,3,45,101,130,30,15,0.5,3,36,84,102,39,17,0.6,3
2013-05-23T19,139,286,172,75,72,2.5,4,115,281,170,80,57,1.8,3,79,148,145,79,34,1.1,3,77,146,154,54,25,0.8,3,41,127,149,33,16,0.5,3,45,101,130,30,15,0.5,3
2013-05-23T20,154,275,168,71,75,3.0,4,139,286,172,75,72,2.5,4,115,281,170,80,57,1.8,3,79,148,145,79,34,1.1,3,77,146,154,54,25,0.8,3,41,127,149,33,16,0.5,3
2013-05-23T21,143,213,148,64,67,2.5,4,154,275,168,71,75,3.0,4,139,286,172,75,72,2.5,4,115,281,170,80,57,1.8,3,79,148,145,79,34,1.1,3,77,146,154,54,25,0.8,3
2013-05-23T22,127,202,131,58,55,2.2,4,143,213,148,64,67,2.5,4,154,275,168,71,75,3.0,4,139,286,172,75,72,2.5,4,115,281,170,80,57,1.8,3,79,148,145,79,34,1.1,3
2013-05-23T23,115,175,117,53,44,2.0,4,127,202,131,58,55,2.2,4,143,213,148,64,67,2.5,4,154,275,168,71,75,3.0,4,139,286,172,75,72,2.5,4,115,281,170,80,57,1.8,3
2013-05-24T00,110,169,112,47,40,1.899,1,115,175,117,53,44,2.0,4,127,202,131,58,55,2.2,4,143,213,148,64,67,2.5,4,154,275,168,71,75,3.0,4,139,286,172,75,72,2.5,4
2013-05-24T01,110,168,113,42,40,1.899,2,110,169,112,47,40,1.899,1,115,175,117,53,44,2.0,4,127,202,131,58,55,2.2,4,143,213,148,64,67,2.5,4,154,275,168,71,75,3.0,4
2013-05-24T02,115,173,117,36,40,2.0,2,110,168,113,42,40,1.899,2,110,169,112,47,40,1.899,1,115,175,117,53,44,2.0,4,127,202,131,58,55,2.2,4,143,213,148,64,67,2.5,4
2013-05-24T03,120,179,126,30,36,2.0,2,115,173,117,36,40,2.0,2,110,168,113,42,40,1.899,2,110,169,112,47,40,1.899,1,115,175,117,53,44,2.0,4,127,202,131,58,55,2.2,4
2013-05-24T04,120,167,111,38,31,1.899,2,120,179,126,30,36,2.0,2,115,173,117,36,40,2.0,2,110,168,113,42,40,1.899,2,110,169,112,47,40,1.899,1,115,175,117,53,44,2.0,4
2013-05-24T05,105,154,90,41,26,1.5,2,120,167,111,38,31,1.899,2,120,179,126,30,36,2.0,2,115,173,117,36,40,2.0,2,110,168,113,42,40,1.899,2,110,169,112,47,40,1.899,1
2013-05-24T06,78,113,51,58,22,1.399,2,105,154,90,41,26,1.5,2,120,167,111,38,31,1.899,2,120,179,126,30,36,2.0,2,115,173,117,36,40,2.0,2,110,168,113,42,40,1.899,2
2013-05-24T07,119,240,41,82,25,2.0,2,78,113,51,58,22,1.399,2,105,154,90,41,26,1.5,2,120,167,111,38,31,1.899,2,120,179,126,30,36,2.0,2,115,173,117,36,40,2.0,2
2013-05-24T08,180,290,18,128,39,2.1,2,119,240,41,82,25,2.0,2,78,113,51,58,22,1.399,2,105,154,90,41,26,1.5,2,120,167,111,38,31,1.899,2,120,179,126,30,36,2.0,2
2013-05-24T09,51,0,40,42,18,0.6,2,180,290,18,128,39,2.1,2,119,240,41,82,25,2.0,2,78,113,51,58,22,1.399,2,105,154,90,41,26,1.5,2,120,167,111,38,31,1.899,2
2013-05-24T10,15,29,68,16,7,0.3,2,51,0,40,42,18,0.6,2,180,290,18,128,39,2.1,2,119,240,41,82,25,2.0,2,78,113,51,58,22,1.399,2,105,154,90,41,26,1.5,2
2013-05-24T11,20,0,79,11,4,0.2,2,15,29,68,16,7,0.3,2,51,0,40,42,18,0.6,2,180,290,18,128,39,2.1,2,119,240,41,82,25,2.0,2,78,113,51,58,22,1.399,2
2013-05-24T12,21,32,89,10,4,0.2,2,20,0,79,11,4,0.2,2,15,29,68,16,7,0.3,2,51,0,40,42,18,0.6,2,180,290,18,128,39,2.1,2,119,240,41,82,25,2.0,2
2013-05-24T13,25,78,106,6,6,0.2,2,21,32,89,10,4,0.2,2,20,0,79,11,4,0.2,2,15,29,68,16,7,0.3,2,51,0,40,42,18,0.6,2,180,290,18,128,39,2.1,2
